config_id,duration,val,train,test,model_name,dataset_name,dataset_id,hp
5,826.088618516922,0.8191290095996254,0.8674,0.8200883002207505,cocktails_smac_preprocess,electricity,44120,random search
1,835.0601115226746,0.8221727932568486,0.8963,0.8263094521372667,cocktails_smac_preprocess,electricity,44120,default
3,847.8360543251038,0.8162022945446031,0.8724,0.8206401766004415,cocktails_smac_preprocess,electricity,44120,random search
7,867.0242137908936,0.800398033247483,0.8059,0.7991671683724664,cocktails_smac_preprocess,electricity,44120,random search
4,869.3053157329559,0.8111683446499649,0.8271,0.8053381497090106,cocktails_smac_preprocess,electricity,44120,random search
16,869.3802709579468,0.8145633341137907,0.8617,0.8170780654224363,cocktails_smac_preprocess,electricity,44120,random search
13,876.2651474475861,0.811051276047764,0.8485,0.8127132249648806,cocktails_smac_preprocess,electricity,44120,random search
19,895.6165919303894,0.8204167642238351,0.8581,0.8204394942805538,cocktails_smac_preprocess,electricity,44120,random search
8,898.6847052574158,0.8178412549754156,0.8611,0.8196869355809753,cocktails_smac_preprocess,electricity,44120,random search
18,938.5962483882904,0.8241629594942637,0.8816,0.8249046758980534,cocktails_smac_preprocess,electricity,44120,random search
14,941.8100714683533,0.8096464528213533,0.8286,0.8052879791290387,cocktails_smac_preprocess,electricity,44120,random search
11,997.1911623477936,0.7485366424724889,0.7444,0.7507023881196067,cocktails_smac_preprocess,electricity,44120,random search
12,999.3520700931549,0.7896277218450012,0.7948,0.7899859522376078,cocktails_smac_preprocess,electricity,44120,random search
17,1001.9495072364807,0.8252165769140717,0.8724,0.8237005819787276,cocktails_smac_preprocess,electricity,44120,random search
2,1010.4514689445496,0.8177241863732148,0.8434,0.8176801123820991,cocktails_smac_preprocess,electricity,44120,random search
9,1034.0916984081268,0.8253336455162725,0.8756,0.8248043347381095,cocktails_smac_preprocess,electricity,44120,random search
6,1173.8003752231598,0.811051276047764,0.8485,0.815121412803532,cocktails_smac_preprocess,electricity,44120,random search
20,1273.107125043869,0.8187778037930227,0.8791,0.8232992173389524,cocktails_smac_preprocess,electricity,44120,random search
10,1277.9192473888397,0.7965347693748537,0.8137,0.7985651214128036,cocktails_smac_preprocess,electricity,44120,random search
23,826.0179483890533,0.8195972840084289,0.9805,0.821944611679711,cocktails_smac_preprocess,electricity,44120,random search (sorted)
29,863.5389080047607,0.804612502926715,0.8149,0.8036825205699378,cocktails_smac_preprocess,electricity,44120,random search
22,941.6682662963867,0.8152657457269961,0.84,0.8148203893237006,cocktails_smac_preprocess,electricity,44120,random search (sorted)
15,1866.9895074367523,0.7734722547412783,0.7869,0.7726771021473008,cocktails_smac_preprocess,electricity,44120,random search
24,1009.2770519256592,0.8187778037930227,0.8635,0.8216937587798515,cocktails_smac_preprocess,electricity,44120,random search (sorted)
32,885.6942021846771,0.7850620463591664,0.7919,0.7873770820790689,cocktails_smac_preprocess,electricity,44120,random search
25,1077.1412830352783,0.8098805900257551,0.8224,0.8071944611679711,cocktails_smac_preprocess,electricity,44120,random search (sorted)
