config_id,duration,val,train,test,model_name,dataset_name,dataset_id,hp
5,804.8469436168671,0.8090611098103488,0.843,0.8159743126630544,cocktails_smac,electricity,44120,random search
16,837.971676826477,0.8137438538983844,0.8398,0.8171784065823801,cocktails_smac,electricity,44120,random search
3,857.3176085948944,0.7950128775462421,0.8116,0.8026289383905278,cocktails_smac,electricity,44120,random search
1,871.5164620876312,0.8211191758370405,0.8938,0.8258077463375476,cocktails_smac,electricity,44120,default
4,884.6948637962341,0.7947787403418404,0.8116,0.8003210917118202,cocktails_smac,electricity,44120,random search
11,916.0959732532501,0.8096464528213533,0.8375,0.8142685129440096,cocktails_smac,electricity,44120,random search
12,948.1117806434631,0.8137438538983844,0.8353,0.8202388119606663,cocktails_smac,electricity,44120,random search
19,964.5533928871155,0.8152657457269961,0.8344,0.8205398354404977,cocktails_smac,electricity,44120,random search
15,982.4201812744141,0.8034418169047062,0.8279,0.8070941200080273,cocktails_smac,electricity,44120,random search
8,991.9655232429504,0.8207679700304379,0.8607,0.8233493879189243,cocktails_smac,electricity,44120,random search
18,1009.0570166110992,0.7552095527979396,0.7606,0.763144691952639,cocktails_smac,electricity,44120,random search
10,1148.014980316162,0.7907984078670101,0.8985,0.800421432871764,cocktails_smac,electricity,44120,random search
7,1215.9669215679169,0.8170217747600094,0.9836,0.8150210716435882,cocktails_smac,electricity,44120,random search
13,1257.9643547534943,0.8060173261531257,0.9131,0.8073951434878587,cocktails_smac,electricity,44120,random search
6,1462.6059396266937,0.8166705689534067,0.8463,0.8196869355809753,cocktails_smac,electricity,44120,random search
2,1470.676903963089,0.8125731678763756,0.8374,0.8165261890427453,cocktails_smac,electricity,44120,random search
26,803.7266716957092,0.8063685319597284,0.8379,0.8127633955448526,cocktails_smac,electricity,44120,random search (sorted)
25,866.5962071418762,0.809997658627956,0.963,0.8148705599036725,cocktails_smac,electricity,44120,random search (sorted)
29,821.7267150878906,0.8190119409974245,0.9056,0.8259582580774634,cocktails_smac,electricity,44120,random search
