,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy
51,1218,Click_prediction_small,1997410.0,11.0,0.0,2.0,0.0,0.0,0.5948666666666668,,,,,,,666008.0,False,
52,1219,Click_prediction_small,399482.0,11.0,0.0,2.0,0.0,0.0,0.59672,,,,,,,134178.0,False,
53,41147,albert,425240.0,78.0,52.0,0.0,11.0,201038.0,0.6238866666666667,,,,,,,202948.0,False,
54,41162,kick,72983.0,32.0,18.0,0.0,0.0,383.0,0.6425714819659877,,,,,,,17836.0,False,
55,42395,SantanderCustomerSatisfaction,200000.0,201.0,0.0,0.0,0.0,0.0,0.7300682648039372,,,,,,,40196.0,False,
56,42435,SantanderCustomerSatisfaction,200000.0,201.0,1.0,0.0,0.0,0.0,0.7300682648039372,,,,,,,40196.0,False,
57,42477,default-of-credit-card-clients,30000.0,23.0,0.0,2.0,0.0,0.0,0.6993972877950778,,,,,,,13272.0,False,
58,42742,porto-seguro,595212.0,57.0,31.0,6.0,0.0,142164.0,0.5342448725916717,,,,,,,34308.0,False,
59,43489,Census-(Augmented),1000000.0,14.0,0.0,0.0,0.0,0.0,0.7842800000000001,,,,,,,630668.0,False,
0,182,satimage,6430.0,36.0,0.0,0.0,0.0,0.0,0.9995580110497236,,,,,,,3016.0,False,
1,250,BNG(mfeat-fourier),1000000.0,76.0,0.0,0.0,0.0,0.0,0.9985066666666668,,,,,,,200314.0,False,
2,252,BNG(mfeat-karhunen),1000000.0,64.0,0.0,0.0,0.0,0.0,0.9941600000000002,,,,,,,200734.0,False,
3,254,BNG(mfeat-zernike),1000000.0,47.0,0.0,0.0,0.0,0.0,0.97188,,,,,,,200552.0,False,
4,261,BNG(pendigits),1000000.0,16.0,0.0,0.0,0.0,0.0,0.9936933333333332,,,,,,,208286.0,False,
5,266,BNG(heart-c),1000000.0,13.0,7.0,1.0,0.0,0.0,0.7566466666666667,,,,,,,907206.0,False,
6,271,BNG(waveform-5000),1000000.0,40.0,0.0,0.0,0.0,0.0,0.9126533333333334,,,,,,,661984.0,False,
7,279,meta_stream_intervals.arff,45164.0,74.0,0.0,1.0,0.0,0.0,0.990750141003948,,,,,,,11818.0,False,
8,554,mnist_784,70000.0,784.0,0.0,110.0,0.0,0.0,0.9917733089579523,,,,,,,14586.0,False,
9,1110,KDDCup99_full,4898431.0,41.0,7.0,6.0,0.0,0.0,0.9997666666666668,,,,,,,2144034.0,False,
10,1113,KDDCup99,494020.0,41.0,7.0,7.0,0.0,0.0,0.9998133333333332,,,,,,,214402.0,False,
11,1183,BNG(satimage),1000000.0,36.0,0.0,0.0,0.0,0.0,0.9921333333333332,,,,,,,468272.0,False,
12,1185,BNG(wine),1000000.0,13.0,0.0,0.0,0.0,0.0,0.9513266666666668,,,,,,,642542.0,False,
13,1209,BNG(vowel),1000000.0,12.0,2.0,0.0,0.0,0.0,0.8959133333333333,,,,,,,182326.0,False,
14,1214,BNG(JapaneseVowels),1000000.0,14.0,0.0,0.0,0.0,0.0,0.9666933333333334,,,,,,,294022.0,False,
15,1222,letter-challenge-unlabeled.arff,20000.0,16.0,0.0,0.0,0.0,0.0,0.548987108655617,,,,,,,14480.0,False,
16,1226,Click_prediction_small,798964.0,9.0,0.0,2.0,0.0,0.0,0.5055266666666667,,,,,,,664786.0,False,
17,1351,"BNG(anneal,1000,1)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.6756,,,,,,,220680.0,False,
18,1352,"BNG(anneal,1000,5)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.62222,,,,,,,220680.0,False,
19,1353,"BNG(anneal,1000,10)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.5920066666666666,,,,,,,220680.0,False,
20,1354,"BNG(anneal,5000,1)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.7577933333333333,,,,,,,220680.0,False,
21,1355,"BNG(anneal,5000,5)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.6763466666666667,,,,,,,220680.0,False,
22,1356,"BNG(anneal,5000,10)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.6757333333333333,,,,,,,220680.0,False,
23,1357,"BNG(anneal,10000,1)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.7725133333333334,,,,,,,220680.0,False,
24,1358,"BNG(anneal,10000,5)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.7139800000000001,,,,,,,220680.0,False,
25,1359,"BNG(anneal,10000,10)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.6781666666666667,,,,,,,220680.0,False,
26,1360,"BNG(anneal.ORIG,1000,1)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.6756466666666666,,,,,,,220680.0,False,
27,1361,"BNG(anneal.ORIG,1000,5)",1000000.0,38.0,32.0,0.0,0.0,0.0,0.6288400000000001,,,,,,,220680.0,False,
28,1362,,,,,,,,,,,,,,,,,
29,1363,,,,,,,,,,,,,,,,,
30,1364,,,,,,,,,,,,,,,,,
31,1365,,,,,,,,,,,,,,,,,
32,1366,,,,,,,,,,,,,,,,,
33,1368,,,,,,,,,,,,,,,,,
34,1393,,,,,,,,,,,,,,,,,
35,1394,,,,,,,,,,,,,,,,,
36,1395,"BNG(autos,1000,10)",1000000.0,25.0,10.0,0.0,0.0,0.0,0.5474666666666667,,,,,,,521888.0,False,
37,1476,gas-drift,13910.0,128.0,0.0,0.0,0.0,0.0,0.9981776765375854,,,,,,,5852.0,False,
38,1477,gas-drift-different-concentrations,13910.0,129.0,0.0,0.0,0.0,0.0,0.9977220956719816,,,,,,,5852.0,False,
39,1478,har,10299.0,561.0,0.0,0.0,0.0,0.0,0.9993006993006992,,,,,,,3812.0,False,
40,1503,spoken-arabic-digit,263256.0,14.0,0.0,0.0,0.0,0.0,0.5326933333333332,,,,,,,52932.0,False,
41,1526,wall-robot-navigation,5456.0,4.0,0.0,0.0,0.0,0.0,0.9806195393169184,,,,,,,4194.0,False,
42,1596,covertype,581012.0,54.0,44.0,0.0,0.0,0.0,0.8391666666666667,,,,,,,423680.0,False,
43,4541,Diabetes130US,101766.0,49.0,36.0,2.0,0.0,0.0,0.63378,,,,,,,71090.0,False,
44,40685,shuttle,58000.0,9.0,0.0,0.0,0.0,0.0,0.99180082366155,,,,,,,17806.0,False,
45,40923,Devnagari-Script,92000.0,1024.0,0.0,240.0,0.0,0.0,0.9876666666666668,,,,,,,4000.0,False,
