,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
0,44,spambase,4601,57,0,0,0,0,,0.917095588235294,0.9457720588235293,0.9027573529411764,0.9332720588235294,0.9420955882352942,,3626,False
1,60,waveform-5000,5000,40,0,0,0,0,,0.927693856998993,0.9154078549848943,0.865055387713998,0.9125881168177241,0.9214501510574019,,3310,False
2,150,covertype,581012,54,44,0,0,0,,0.7633866666666667,0.8180866666666666,0.78228,0.7937733333333333,0.8436666666666668,,423680,False
3,152,Hyperplane_10_1E-3,1000000,10,0,0,0,0,,0.6981266666666667,0.68916,0.6014933333333333,0.6883933333333333,0.6847800000000002,,999986,False
4,153,Hyperplane_10_1E-4,1000000,10,0,0,0,0,,0.9088733333333334,0.8847266666666667,0.7694266666666667,0.90676,0.8736133333333334,,999668,False
5,159,RandomRBF_50_1E-3,1000000,10,0,0,0,0,,0.5001400000000001,0.5344733333333334,0.5238666666666667,0.5417266666666667,0.5739266666666666,,522348,False
6,160,RandomRBF_50_1E-4,1000000,10,0,0,0,0,,0.5367200000000001,0.6682066666666667,0.6392266666666667,0.6789933333333333,0.7535133333333335,,522348,False
7,180,covertype,110393,54,40,0,0,0,,0.7588866666666667,0.8120533333333334,0.77874,0.7905533333333332,0.8426599999999999,,77812,False
8,182,satimage,6430,36,0,0,0,0,,0.9988950276243095,0.9971270718232044,0.990939226519337,0.9991160220994475,0.9980110497237569,,3016,False
9,246,BNG(labor),1000000,16,8,1,0,0,,0.7733933333333334,0.8115266666666667,0.7356533333333333,0.8001933333333333,0.7987933333333334,,706000,False
10,250,BNG(mfeat-fourier),1000000,76,0,0,0,0,,0.9986066666666668,0.9961333333333332,0.97082,0.9987133333333335,0.9959866666666667,,200314,False
11,251,BNG(breast-w),39366,9,0,0,0,0,,0.9802514058881906,0.9869996692027787,0.9750909692358583,0.9850810453192193,0.9862222957327159,,27092,False
12,252,BNG(mfeat-karhunen),1000000,64,0,0,0,0,,0.9938933333333333,0.99454,0.95014,0.9947199999999998,0.9935466666666667,,200734,False
13,254,BNG(mfeat-zernike),1000000,47,0,0,0,0,,0.9484333333333334,0.9829399999999999,0.9296933333333335,0.9739266666666666,0.9687533333333332,,200552,False
14,256,BNG(colic.ORIG),1000000,27,20,0,0,0,,0.5073133333333334,0.50544,0.50262,0.5021666666666667,0.5019733333333333,,724812,False
