metric,,,,,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
dataset,,,,,44,60,151,279,293,351,354,357,720,722,725,734,735,737,761,803,816,819,821,823,833,846,847,871,976,979,993,1044,1053,1110,1113,1119,1120,1222,1241,1242,1461,1476,1477,1478,1486,1489,1503,1507,1526,1590,4134,4541,23517,40685,40923,41146,41147,41150,41162,41163,41164,41166,41168,41169,41671,41972,42206,42343,42395,42468,42477,42742,42746,42769,43489,44,60,151,279,293,351,354,357,720,722,725,734,735,737,761,803,816,819,821,823,833,846,847,871,976,979,993,1044,1053,1110,1113,1119,1120,1222,1241,1242,1461,1476,1477,1478,1486,1489,1503,1507,1526,1590,4134,4541,23517,40685,40923,41146,41147,41150,41162,41163,41164,41166,41168,41169,41671,41972,42206,42343,42395,42468,42477,42742,42746,42769,43489,44,60,151,279,293,351,354,357,720,722,725,734,735,737,761,803,816,819,821,823,833,846,847,871,976,979,993,1044,1053,1110,1113,1119,1120,1222,1241,1242,1461,1476,1477,1478,1486,1489,1503,1507,1526,1590,4134,4541,23517,40685,40923,41146,41147,41150,41162,41163,41164,41166,41168,41169,41671,41972,42206,42343,42395,42468,42477,42742,42746,42769,43489,44,60,151,279,293,351,354,357,720,722,725,734,735,737,761,803,816,819,821,823,833,846,847,871,976,979,993,1044,1053,1110,1113,1119,1120,1222,1241,1242,1461,1476,1477,1478,1486,1489,1503,1507,1526,1590,4134,4541,23517,40685,40923,41146,41147,41150,41162,41163,41164,41166,41168,41169,41671,41972,42206,42343,42395,42468,42477,42742,42746,42769,43489
method,optimization_metric,optimization_time,eval_position,split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autopytorch_default,accuracy,3600.0,1000,1,0.9319852941176471,0.8759842519685039,0.8118343699412115,0.9915397631133672,0.8403,0.9609333333333333,0.9422333333333334,0.8382333333333334,0.7814251401120896,0.9841322314049586,0.9360201511335012,0.8638833285673434,0.9092131809011432,0.8497297297297297,0.9226630800268998,0.9322709163346613,0.7989374744585206,0.8732394366197183,0.8574252532740302,0.9844830809497103,0.7745740498034076,0.8752841831763559,0.8449023861171366,0.4857142857142857,0.9948400412796697,0.8759842519685039,0.838150289017341,0.5851949189662724,0.6576862123613312,1.0,1.0,0.7577045696068013,0.8494891602292549,0.5692909760589319,0.9627,0.8387333333333333,0.7844990548204159,0.9982915717539863,0.9971526195899773,1.0,0.9595395293719317,0.8539915966386554,0.5805666666666667,0.9693555655700766,0.9920571882446386,0.7572247432529258,0.7778855480116392,0.6014333333333334,0.5059666666666667,0.9996256083863722,0.9983333333333333,0.9252275682704811,0.5744333333333334,0.9145333333333333,,,,0.9914157750684249,0.7310333333333333,0.9640914036996736,0.6524163568773235,0.9181091877496671,0.5309716179821835,0.525723769131477,0.7430544530877917,0.8971,0.6845806127574083,0.5309716179821835,1.0,0.6627,0.7748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.08373379707336,273.75174593925476,2138.390385389328,1008.1686820983887,2330.0266423225403,2566.7398314476013,2424.5684537887573,2879.0009212493896,284.4647169113159,772.181182384491,515.3442254066467,882.1063759326935,366.7039978504181,204.94372820854187,380.7914922237396,452.28280377388,508.64923453330994,627.1908671855927,870.6360456943512,1515.5911254882812,360.95041680336,753.4632782936096,431.3935399055481,261.08681654930115,297.35611748695374,273.75174593925476,382.31335067749023,479.6242821216583,276.539803981781,3215.9054024219513,3141.789383649826,1076.6314406394958,930.5943439006805,981.9290645122528,2635.30912733078,2960.7408442497253,728.1025757789612,546.0239017009735,563.8848350048065,562.4040727615356,1590.444590806961,212.02190947532654,2412.6295051574707,702.0291140079498,324.58746337890625,1600.5666062831879,369.95383977890015,2362.1625945568085,2403.0097126960754,1700.4853456020355,908.8224341869354,386.68023467063904,2435.7843034267426,2732.694037437439,,,,2505.0317420959473,2525.706281900406,500.3981306552887,653.9767763614655,485.66349029541016,1918.991140127182,1682.1977405548096,3122.1137533187866,2593.7716484069824,897.8156750202179,1918.991140127182,3141.789383649826,2413.4290566444397,2449.8385264873505
autopytorch_default,accuracy,3600.0,1000,2,0.9310661764705882,0.875,0.8139643861293346,0.9952058657642414,0.8409666666666666,0.9627333333333333,0.9515,0.8411666666666666,0.7750200160128102,0.9844628099173554,0.9329974811083124,0.8664569631112382,0.8964357767316745,0.8864864864864865,0.9105581708137189,0.9352589641434262,0.7940335104209236,0.872887323943662,0.8559426735853719,0.983361375958123,0.7693315858453473,0.8661903215329653,0.8486984815618221,0.516017316017316,0.9938080495356038,0.875,0.8407193320488118,0.5987735435830048,0.6568938193343898,0.9999333333333333,0.9999333333333333,0.7579171094580234,0.8492399700971841,0.5734346224677717,0.9628333333333333,0.8388333333333333,0.7971014492753623,0.9988610478359908,0.9994305239179955,0.9982517482517482,0.9624174707973591,0.8665966386554622,0.5791333333333334,0.9707075259125733,0.9936457505957109,0.7519703845235252,0.7875848690591658,0.6028333333333333,0.5014666666666666,0.9998128041931861,0.9966666666666667,0.929778933680104,0.5897666666666667,0.9158333333333334,,,,0.9897984573276934,0.7296666666666667,0.9619151251360174,0.6579925650557621,0.9247669773635153,0.5264657136938057,0.5321777613866864,0.7361485950150818,0.8904333333333333,0.6717729784028127,0.5264657136938057,0.9999333333333333,0.666,0.7839666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.5402057170868,271.537309885025,2177.6123645305634,1129.084797859192,2402.3109979629517,2602.119349002838,2516.694346666336,2948.870173931122,292.81372117996216,790.8072474002838,520.3032567501068,833.1840798854828,369.12027502059937,205.7041733264923,380.88006806373596,458.72871708869934,522.5054640769958,648.9700856208801,896.2239279747009,1492.5262851715088,339.25785756111145,763.8850219249725,398.9097628593445,264.6605794429779,309.86864614486694,271.537309885025,406.4969103336334,469.2622103691101,275.7588324546814,3438.761456012726,3293.079248905182,1088.4032192230225,915.2098064422607,981.2510805130005,2661.1360080242157,2926.691077232361,712.5812644958496,495.6728718280792,485.2886288166046,501.0500226020813,1574.3146226406097,209.69008374214172,2353.501625776291,795.1633186340332,337.6530158519745,1593.902071237564,363.68278884887695,2403.4407579898834,2408.4805529117584,1726.8296060562134,769.3253498077393,402.9725739955902,2461.7023565769196,2679.5010573863983,,,,2421.47958111763,2524.4092259407043,419.69289803504944,652.3989942073822,433.33288860321045,1871.6365971565247,1620.5533473491669,3276.838332414627,2452.113374710083,865.8043217658997,1871.6365971565247,3293.079248905182,2376.9556765556335,2421.290915250778
autopytorch_default,accuracy,3600.0,1000,3,0.9365808823529411,0.8937007874015748,0.811408366703587,0.9943598420755781,0.8428333333333333,0.9638,0.9446333333333333,0.8433,0.7902321857485989,0.9897520661157024,0.9335012594458438,0.8613096940234487,0.9159381304640215,0.8702702702702703,0.9260255548083389,0.9427290836653387,0.8054760931753168,0.8820422535211268,0.860637509266123,0.9829874742942606,0.7765399737876802,0.8661903215329653,0.8438177874186551,0.4987012987012987,0.9855521155830753,0.8937007874015748,0.8349389852280026,0.5930792816469558,0.6640253565768621,1.0,1.0,,,0.5759668508287292,0.9620666666666666,0.8450666666666666,0.7860743541272842,1.0,1.0,0.9991258741258742,0.9549686812256645,0.8560924369747899,0.5780333333333333,0.9720594862550699,0.9968228752978554,0.7491043706711249,0.7662463627546072,0.6016333333333334,0.5073666666666666,0.9994384125795582,0.9991666666666666,0.922626788036411,0.5865666666666667,0.9172333333333333,,,,0.9915401841254043,0.7316333333333334,0.9640914036996736,0.6624535315985131,0.903462050599201,0.5258442096540294,0.5299649640420432,0.7428956977297984,0.8924,0.673279758915118,0.5258442096540294,1.0,0.6653666666666667,0.7805666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.3445794582367,272.2906880378723,2160.591996908188,997.5019614696503,2424.0323486328125,2579.2803208827972,2519.6401028633118,2917.028030872345,284.3544189929962,794.8043577671051,525.1037492752075,864.706384897232,389.598592042923,213.1984052658081,380.24261140823364,455.56001710891724,505.9258427619934,636.5717651844025,857.6342349052429,1518.036950826645,346.9621305465698,782.2367689609528,428.02510476112366,264.42304730415344,296.39217925071716,272.2906880378723,390.09999418258667,488.3808526992798,286.7745997905731,3433.329876422882,3412.493423461914,,,979.2296757698059,2684.8018770217896,2927.5004374980927,717.4793243408203,547.6988167762756,488.2761347293854,514.9097352027893,1576.7889738082886,214.65296363830566,2352.8553092479706,729.4574432373047,333.24974751472473,1575.0878953933716,354.13244891166687,2381.974975347519,2383.514335632324,1655.9300608634949,829.0265319347382,397.7520914077759,2431.1104106903076,2694.895773410797,,,,2456.1684939861298,2519.760322332382,445.0575222969055,642.7228560447693,431.3238387107849,1857.103304386139,1616.9441301822662,3367.6550579071045,2464.057502269745,863.805135011673,1857.103304386139,3412.493423461914,2402.99342751503,2461.208130836487
