dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
44089,credit,16714,10,0,1,0,0,0.7521435692921237,0.7223130608175474,0.7787437686939181,0.685343968095713,0.7578863409770689,0.7692123629112662,,16714,False
44090,california,20634,8,0,0,0,0,0.87078016475529,0.8346955257632047,0.9050557260539492,0.8375706670973994,0.8752705540300436,0.8933290260054918,,20634,False
44091,wine,2554,11,0,0,0,0,0.7814863102998697,0.7447196870925685,0.8073011734028684,0.7543676662320731,0.7799217731421122,0.8156453715775751,,2554,False
