metric,,,,,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,score,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,inference_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,fit_time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
dataset,,,,,44,60,151,279,293,351,354,357,720,722,725,734,735,737,761,803,816,819,821,823,833,846,847,871,976,979,993,1044,1053,1110,1113,1119,1120,1222,1241,1242,1461,1476,1477,1478,1486,1489,1503,1507,1526,1590,4134,4541,23517,40685,40923,41146,41147,41150,41162,41163,41164,41166,41168,41169,41671,41972,42206,42343,42395,42468,42477,42742,42746,42769,43489,44,60,151,279,293,351,354,357,720,722,725,734,735,737,761,803,816,819,821,823,833,846,847,871,976,979,993,1044,1053,1110,1113,1119,1120,1222,1241,1242,1461,1476,1477,1478,1486,1489,1503,1507,1526,1590,4134,4541,23517,40685,40923,41146,41147,41150,41162,41163,41164,41166,41168,41169,41671,41972,42206,42343,42395,42468,42477,42742,42746,42769,43489,44,60,151,279,293,351,354,357,720,722,725,734,735,737,761,803,816,819,821,823,833,846,847,871,976,979,993,1044,1053,1110,1113,1119,1120,1222,1241,1242,1461,1476,1477,1478,1486,1489,1503,1507,1526,1590,4134,4541,23517,40685,40923,41146,41147,41150,41162,41163,41164,41166,41168,41169,41671,41972,42206,42343,42395,42468,42477,42742,42746,42769,43489,44,60,151,279,293,351,354,357,720,722,725,734,735,737,761,803,816,819,821,823,833,846,847,871,976,979,993,1044,1053,1110,1113,1119,1120,1222,1241,1242,1461,1476,1477,1478,1486,1489,1503,1507,1526,1590,4134,4541,23517,40685,40923,41146,41147,41150,41162,41163,41164,41166,41168,41169,41671,41972,42206,42343,42395,42468,42477,42742,42746,42769,43489
method,optimization_metric,optimization_time,eval_position,split,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autopytorch_master_default,accuracy,3600.0,1000,1,0.9181985294117647,0.8562992125984252,0.8035273068075317,0.9890016920473773,0.8090333333333334,0.9619,0.7271,0.8542,0.77662129703763,0.9771900826446281,0.9370277078085643,0.8781812982556477,0.9159381304640215,0.8562162162162162,0.9273705447209146,0.9362549800796812,0.8173273395995097,0.8848591549295775,0.8707684704719545,0.9811179659749486,0.752948885976409,0.8788567716791166,0.8519522776572668,0.49696969696969695,0.9927760577915377,0.8562992125984252,0.8407193320488118,0.5764345159877354,0.6410459587955626,1.0,1.0,0.759192348565356,0.8599551457762272,0.5616942909760589,0.9633333333333334,0.8586666666666667,0.7889098928796471,0.9982915717539863,0.9977220956719818,0.9982517482517482,0.9585237853394278,0.8497899159663865,0.5585,0.9616944569625958,0.9896743447180302,0.7585383329352758,0.7555771096023278,0.6308666666666667,0.5055666666666667,0.9992512167727443,1.0,0.9258777633289987,0.6182333333333333,0.9186,0.645673705849374,1.0,0.9658965896589659,0.9895496392137347,0.7400333333333333,0.9619151251360174,0.6527881040892193,0.9327563249001332,0.5420551066915268,0.5342061589526093,0.7520638196539133,0.9010666666666667,0.7064289301858363,0.5420551066915268,1.0,0.6755,0.7860666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.71838927268982,57.09976315498352,941.5519156455994,189.89299607276917,1209.045741558075,1183.4627254009247,1212.0044946670532,1423.080084323883,74.91167974472046,136.44769048690796,98.61589360237122,178.4970998764038,72.01543974876404,51.916197538375854,89.1231210231781,111.5298399925232,133.2401099205017,149.35372638702393,204.92462515830994,274.2464427947998,97.47731590270996,153.26780557632446,106.38723278045654,64.76640915870667,49.05887293815613,57.09976315498352,83.47140121459961,122.95222282409668,69.22927045822144,642.616453409195,535.8745219707489,198.4488730430603,201.64101600646973,207.41097259521484,1488.270817041397,1418.2724997997284,158.71905422210693,90.88148903846741,122.23444485664368,66.58753156661987,326.30705070495605,49.82979464530945,1130.5595211982727,121.60164451599121,64.59707880020142,377.5202627182007,124.57098197937012,1304.8024957180023,1230.8197495937347,306.47857451438904,169.93091583251953,72.54531145095825,1240.0865292549133,1340.8085238933563,249.7602415084839,493.31766414642334,165.76536655426025,576.3373603820801,1442.9833278656006,92.03044486045837,147.88190722465515,111.86421012878418,768.8582818508148,475.1563620567322,1584.622521162033,1185.921552658081,211.71773838996887,768.8582818508148,535.8745219707489,1269.311441898346,1171.6069104671478
autopytorch_master_default,accuracy,3600.0,1000,2,0.921875,0.8710629921259843,0.8042515123114936,0.9949238578680203,0.8203,0.9630333333333333,0.7326666666666667,0.8567,0.7614091273018415,0.9748760330578512,0.9345088161209067,0.8738919073491564,0.898453261600538,0.88,0.9139206455951581,0.9442231075697212,0.8046587658357172,0.8859154929577465,0.8744749196936002,0.983361375958123,0.772608125819135,0.8811302370899643,0.8421908893709328,0.5099567099567099,0.9969040247678018,0.8710629921259843,0.8394348105330764,0.5843188786684187,0.6537242472266244,0.9999666666666667,0.9999333333333333,0.7640807651434643,0.8567156740593073,0.5715930018416207,0.9631333333333333,0.8536666666666667,0.8015122873345936,0.9982915717539863,0.9982915717539863,0.9991258741258742,0.9642796681902828,0.8581932773109243,0.5566333333333333,0.9662009914375845,0.9896743447180302,0.7507762120850251,0.7856450048496605,0.6269666666666667,0.5027666666666667,0.9983152377386747,0.9983333333333333,0.9161248374512354,0.6211,0.9129333333333334,0.6471687535040179,0.998371335504886,0.9603960396039604,0.9896740482707141,0.7343333333333333,0.9684439608269858,0.6613382899628253,0.9500665778961385,0.5497721151854154,0.5290429651484418,0.7476186696301,0.9015,0.6863385233550979,0.5497721151854154,0.9999333333333333,0.6744,0.7830666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.59801983833313,61.66327929496765,942.7637097835541,201.85345697402954,1234.144924402237,1202.296202659607,1196.1204109191895,1448.0671014785767,74.02284407615662,159.82383012771606,101.9394543170929,170.21351218223572,73.59153366088867,47.762776613235474,84.74971294403076,107.34478545188904,125.17455816268921,138.06632494926453,194.3706657886505,272.82242488861084,79.56838703155518,135.7884337902069,89.28481650352478,60.99964213371277,51.593247413635254,61.66327929496765,85.92865896224976,108.39358878135681,74.62064528465271,475.566757440567,423.7860026359558,201.73541569709778,187.80223751068115,216.76239657402039,1128.2339851856232,1521.57359957695,158.60902523994446,99.71291661262512,86.28611731529236,104.55539774894714,334.6120433807373,50.80081009864807,1189.7979929447174,126.98962211608887,76.15763521194458,380.4082520008087,111.84139275550842,1186.3870749473572,1230.6510310173035,309.6391270160675,173.21122860908508,90.13226699829102,1208.4828398227692,1361.507038116455,276.2404351234436,293.360808134079,141.9373300075531,515.1355934143066,1423.9162635803223,118.79892063140869,148.34679579734802,118.1435067653656,824.4914748668671,436.78896141052246,1413.6771862506866,1167.4004263877869,182.7059850692749,824.4914748668671,423.7860026359558,1215.7636649608612,967.324624300003
autopytorch_master_default,accuracy,3600.0,1000,3,0.9227941176470589,0.8818897637795275,0.7949646417312771,0.9906937394247038,0.8136,0.9645,0.7441,0.8562,0.77662129703763,0.9791735537190083,0.9375314861460957,0.8676008006863025,0.917955615332885,0.8756756756756757,0.9226630800268998,0.9432270916334662,0.8111973845525133,0.8887323943661972,0.8712626637015073,0.9820527201346047,0.772608125819135,0.8788567716791166,0.8492407809110629,0.49004329004329006,0.9855521155830753,0.8818897637795275,0.8400770712909441,0.5869469995619798,0.659270998415214,0.9999666666666667,0.9998333333333334,0.7540913921360255,0.8587091951158734,0.5906998158379374,0.9645,0.856,0.7832388153749212,0.9994305239179955,0.9988610478359908,0.9991258741258742,0.9549686812256645,0.8581932773109243,0.5506,0.9684542586750788,0.982525814138205,0.7525674707427753,0.7594568380213385,0.6283666666666666,0.5087333333333334,0.9958816922500936,1.0,0.9232769830949284,0.6181666666666666,0.9207333333333333,0.6527751822089329,1.0,0.9658965896589659,0.9905449116695696,0.7408666666666667,0.9668117519042437,0.6676579925650558,0.9307589880159787,0.5507043712450798,0.528489765812281,0.7483727575805683,0.9014666666666666,0.6946258161727775,0.5507043712450798,0.9998333333333334,0.6744,0.7887333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.73493003845215,71.4800488948822,979.2915720939636,176.8959300518036,1228.1449935436249,1189.8873345851898,1208.0898079872131,1366.194659948349,71.99527668952942,159.8584542274475,97.63050389289856,163.70116019248962,79.1260769367218,55.22711753845215,88.29536819458008,90.93768882751465,131.8630771636963,134.0901324748993,193.900057554245,265.089542388916,96.47758889198303,152.23051762580872,106.21656012535095,65.25084972381592,51.50893568992615,71.4800488948822,74.43417239189148,110.69590997695923,75.55783605575562,419.10075974464417,464.57046484947205,241.31186079978943,212.46695041656494,204.40943503379822,1092.309737920761,1375.4625508785248,144.2686538696289,69.47248959541321,117.90771794319153,119.33470582962036,337.5632770061493,56.46674108505249,1183.2975585460663,116.43324851989746,72.51654553413391,348.78465032577515,107.89153599739075,1267.1754870414734,1181.5816645622253,220.18678212165833,162.07810807228088,73.93895697593689,1239.8946769237518,1290.3499643802643,267.5335376262665,300.69099283218384,154.51333212852478,621.9594395160675,1460.5426805019379,93.78048491477966,125.28759622573853,116.05429887771606,793.8943994045258,448.7826826572418,1583.7418944835663,1236.4830348491669,192.3143515586853,793.8943994045258,464.57046484947205,1322.9456610679626,1017.9673352241516
