dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small,too_easy,score_cocktails_default,score_cocktails_random,score_autopytorch_default
44,spambase,4601.0,57.0,0.0,0.0,0.0,0.0,0.9238970588235292,0.917095588235294,0.9477941176470588,0.9027573529411764,0.9332720588235294,0.9420955882352942,,3626.0,False,,0.9283088235294118,,0.9209558823529411
60,waveform-5000,5000.0,40.0,0.0,0.0,0.0,0.0,0.900503524672709,0.927693856998993,0.9190332326283988,0.865055387713998,0.912588116817724,0.921450151057402,,3310.0,False,,0.916414904330312,0.9204431017119838,0.869750656167979
151,electricity,45312.0,8.0,1.0,0.0,0.0,0.0,0.7895118002896822,0.7409389111357246,0.8666013461702308,0.8344636619238306,0.787722586691659,0.8623583539234898,,38474.0,False,,0.8128993780352731,0.8187782227144926,0.8009144869501008
279,meta_stream_intervals.arff,45164.0,74.0,0.0,1.0,0.0,0.0,0.990750141003948,0.972645234066554,0.996897913141568,0.9954314720812184,0.9919345741680766,0.9965595036661028,,11818.0,False,,0.9906937394247038,,0.9915397631133671
293,covertype,581012.0,54.0,0.0,0.0,0.0,0.0,0.8243466666666667,0.6164866666666666,0.8189733333333333,0.7644066666666667,0.7845133333333333,0.8278800000000001,,566602.0,False,,0.8374,0.8496333333333334,0.8143111111111111
351,codrna,488565.0,8.0,0.0,0.0,0.0,0.0,0.96186,0.95284,0.9642,0.93188,0.9630733333333332,0.95746,,325710.0,False,,0.9623,,0.9631444444444445
354,poker,1025010.0,10.0,0.0,5.0,0.0,0.0,0.7769799999999999,0.4995,0.7950733333333334,0.6539133333333333,0.7292133333333333,0.75254,,1022616.0,False,,0.9538,0.8041333333333334,0.7346222222222222
357,vehicle_sensIT,98528.0,100.0,0.0,0.0,0.0,0.0,0.8463466666666667,0.8577933333333334,0.86792,0.7824933333333333,0.8291933333333332,0.8628866666666667,,98528.0,False,,0.8428333333333333,0.8632333333333333,0.8557
720,abalone,4177.0,8.0,1.0,0.0,0.0,0.0,0.7868694955964772,0.7831865492393915,0.7646116893514812,0.7143314651721376,0.7932746196957565,0.7844675740592474,,4162.0,False,,0.7806244995996797,0.7838270616493195,0.7715505737923672
722,pol,15000.0,48.0,0.0,22.0,0.0,0.0,0.6953388429752065,0.8565950413223142,0.985190082644628,0.9722314049586778,0.985785123966942,0.9816859504132232,,10082.0,False,,0.9077685950413223,0.9094214876033058,0.9770798898071625
725,bank8FM,8192.0,8.0,0.0,1.0,0.0,0.0,0.9366246851385392,0.9381360201511336,0.9338035264483628,0.9082115869017632,0.9408564231738036,0.9357178841309824,,6614.0,False,,0.9360201511335012,,0.9363560033585223
734,ailerons,13750.0,40.0,0.0,7.0,0.0,0.0,0.8662853874749785,0.8773234200743494,0.8844152130397482,0.8304832713754647,0.8738919073491564,0.8719473834715471,,11656.0,False,,0.8618816128109809,0.8870460394623964,0.8732246687637022
735,cpu_small,8192.0,12.0,0.0,0.0,0.0,0.0,0.9104236718224614,0.9045057162071284,0.9159381304640216,0.8655010087424344,0.9141896435776732,0.9172831203765972,,4954.0,False,,0.9112306657700068,0.9098856758574312,0.9107823357991482
737,space_ga,3107.0,6.0,0.0,0.0,0.0,0.0,0.8745945945945947,0.8324324324324325,0.8421621621621622,0.7591351351351352,0.8592432432432432,0.8337297297297297,,3082.0,False,,0.8497297297297297,0.8421621621621621,0.8706306306306306
761,cpu_act,8192.0,21.0,0.0,0.0,0.0,0.0,0.9236045729657028,0.9245460659045058,0.9301950235373236,0.8883658372562205,0.9305985205110964,0.9276395427034296,,4954.0,False,,0.9199731002017484,,0.9213180901143242
803,delta_ailerons,7129.0,5.0,0.0,0.0,0.0,0.0,0.9395418326693228,0.9393426294820716,0.9423306772908366,0.9107569721115536,0.9423306772908366,0.9446215139442232,,6692.0,False,,0.9307768924302788,,0.9412350597609561
816,puma8NH,8192.0,8.0,0.0,0.0,0.0,0.0,0.7937883122190437,0.8274621986105435,0.818226399673069,0.760114425827544,0.8322026971802208,0.8294237842255823,,8156.0,False,,0.8062934205149163,0.8348998774008991,0.8110611633292467
819,delta_elevators,9517.0,6.0,0.0,1.0,0.0,0.0,0.876056338028169,0.8823239436619719,0.8709154929577465,0.821338028169014,0.8804929577464791,0.8778169014084506,,9464.0,False,,0.8757042253521127,0.8876760563380282,0.8865023474178404
821,house_16H,22784.0,16.0,0.0,0.0,0.0,0.0,0.8711638250555968,0.8237706943414874,0.8812453669384729,0.8131455399061032,0.8743760810476896,0.8781813689152458,,13488.0,False,,0.8542129972819372,0.8799110452186805,0.8721686846223541
823,houses,20640.0,8.0,0.0,0.0,0.0,0.0,0.9827631332959432,0.9629463451112358,0.9828379136287156,0.97573378201533,0.9821648906337634,0.983249205458964,,17828.0,False,,0.9835483267900542,,0.9821773540225588
833,bank32nh,8192.0,32.0,0.0,4.0,0.0,0.0,0.7558322411533421,0.8002621231979031,0.78086500655308,0.6993446920052424,0.7699868938401049,0.7792922673656618,,5086.0,False,,0.7706422018348624,0.7968545216251638,0.7660550458715596
846,elevators,16599.0,18.0,0.0,2.0,0.0,0.0,0.87268593699253,0.8696979538811302,0.8610587853199091,0.7537512179278986,0.8773627801234166,0.8268918480025983,,10260.0,False,,0.8720363754465735,0.8801558947710295,0.8796145934827324
